Quarters,Events,Prizes
Q4-2020,A.W EXTREME MASTERS ASIA Invitational,"50,000 "
Q4-2020,First Strike Korea,"100,000 "
Q4-2020,First Strike Japan,"47,992.48 "
Q1-2021,VCT 2021: Southeast Asia Stage 1 Masters,"50,000 "
Q1-2021,VCT 2021: Japan Stage 1 Masters,"45,921.27 "
Q1-2021,VCT 2021: Korea Stage 1 Masters,"100,000 "
Q2-2021,VCT 2021: Southeast Asia Stage 2 Challengers Finals,"50,000 "
Q2-2021,VCT 2021: Korea Stage 2 Challengers,"58,152.07 "
Q3-2021,VCT 2021: Korea Stage 3 Challengers Playoffs,"69,684.61 "
Q3-2021,VCT 2021: Southeast Asia Stage 3 Challengers Playoffs,"100,000 "
Q4-2021,VCT 2021: APAC Last Chance Qualifier,Champions
Q1-2022,VCT 2022: APAC Stage 1 Challengers,"150,000 "
Q1-2022,VCT 2022: Korea Stage 1 Challengers,"85,687.71 "
Q2-2022,VCT 2022: Korea Stage 2 Challengers,"81,440.18 "
Q2-2022,VCT 2022: APAC stage 2 Challengers,"150,000 "
Q3-2022,VCT 2022: APAC Last Chance Qualifier,Champions
Q3-2022,VCT 2022: East Asia Last Chance Qualifier,Champions
Q3-2022,Valorant India Invitational,"100,000 "
Q1-2023,VALORANT Challengers 2023: Korea Split 1,"57,042.73 "
Q1-2023,VALORANT Challengers 2023: Japan Split 1,"37,795.71 "
Q2-2023,VALORANT Challengers 2023: Korea Split 2,"57,428.53 "
Q2-2023,VALORANT Challengers 2023: Japan Split 2,"35,699.34 "
Q2-2023 ,VALORANT Challengers 2023: South Asia Split 2,"100,000 "
Q2-2023,VCT 2023: Pacific League,"250,000 "
Q2-2023 ,VCT 2023: Ascension Pacific,"100,000 "
Q2-2023,VCT 2023: Masters Tokyo,"1,000,000 "
Q4-2023,TEN Valorant Global Invitational,"25,953.90 "
Q4-2023,Red Bull Home Ground #4,"50,000 "
Q4-2023,AfreecaTV VALORANT LEAGUE,"80,000 "
Q4-2023,Convergence 2023,"50,000 "
Q1-2024,VALORANT Challengers 2024 Japan: Split 1,"33,037.09 "
Q1-2024,VALORANT Challengers 2024 Korea: Split 1,"56,346.97 "
Q2-2024,VALORANT Challengers 2024 Japan: Split 2,"31,818 "
Q2-2024,VALORANT Challengers 2024 Korea: Split 2,"56,517.44 "
